,index,budget,genres,id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count,cast,director
224,224,120000000,Action Science Fiction,97020,en,RoboCop,66.757869,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Strike Entertainment"", ""id"": 655}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-01-30,242688965,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,RoboCop,5.7,2342,Joel Kinnaman Gary Oldman Michael Keaton Abbie Cornish Jackie Earle Haley,Jos\u00e9 Padilha
225,225,120000000,Action Family Science Fiction,7459,en,Speed Racer,17.060695000000006,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Anarchos Productions"", ""id"": 450}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Velocity Productions"", ""id"": 12170}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-05-09,93945766,135,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Speed Racer,5.7,354,Emile Hirsch Christina Ricci Matthew Fox Susan Sarandon Scott Porter,Lilly Wachowski
226,226,120000000,Comedy Drama Romance,42888,en,How Do You Know,11.137655,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Gracie Films"", ""id"": 18}, {""name"": ""Road Rebel"", ""id"": 2648}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-12-17,48668907,121,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,How Do You Know,4.9,223,Reese Witherspoon Paul Rudd Owen Wilson Jack Nicholson Kathryn Hahn,James L. Brooks
227,227,117000000,Action Comedy,37834,en,Knight and Day,44.906918,"[{""name"": ""Tree Line Films"", ""id"": 84}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Pink Machine"", ""id"": 21845}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-06-15,261930431,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Knight and Day,5.9,1547,Tom Cruise Cameron Diaz Peter Sarsgaard Viola Davis Jordi Moll\u00e0,James Mangold
228,228,120000000,Action Science Fiction Adventure Mystery,75612,en,Oblivion,67.698004,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Chernin Entertainment"", ""id"": 7076}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Monolith Pictures (III)"", ""id"": 19647}, {""name"": ""Radical Studios"", ""id"": 19648}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-04-10,286168572,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Oblivion,6.4,4800,Tom Cruise Morgan Freeman Olga Kurylenko Andrea Riseborough Nikolaj Coster-Waldau,Joseph Kosinski
229,229,113000000,Science Fiction Adventure Action,1895,en,Star Wars: Episode III - Revenge of the Sith,44.108427,"[{""name"": ""Lucasfilm"", ""id"": 1}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-05-17,850000000,140,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Star Wars: Episode III - Revenge of the Sith,7.1,4116,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,George Lucas
230,230,120000000,Adventure Action Science Fiction,1894,en,Star Wars: Episode II - Attack of the Clones,43.987061,"[{""name"": ""Lucasfilm"", ""id"": 1}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-05-15,649398328,142,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Star Wars: Episode II - Attack of the Clones,6.4,3992,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,George Lucas
231,231,115000000,Animation Comedy Family,585,en,"Monsters, Inc.",106.815545,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-11-01,562816256,92,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Monsters, Inc.",7.5,5996,John Goodman Billy Crystal Mary Gibbs Steve Buscemi James Coburn,Pete Docter
232,232,120000000,Action Science Fiction Adventure Fantasy,76170,en,The Wolverine,15.953444,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""Big Screen Productions"", ""id"": 10893}, {""name"": ""TSG Entertainment"", ""id"": 22213}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-07-23,415440673,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Wolverine,6.3,4053,Hugh Jackman Hiroyuki Sanada Famke Janssen Will Yun Lee Tao Okamoto,James Mangold
233,233,115000000,Adventure Action Science Fiction,1893,en,Star Wars: Episode I - The Phantom Menace,54.035265,"[{""name"": ""Lucasfilm"", ""id"": 1}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-05-19,924317558,136,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Star Wars: Episode I - The Phantom Menace,6.3,4432,Liam Neeson Ewan McGregor Natalie Portman Jake Lloyd Ian McDiarmid,George Lucas
234,234,135000000,Adventure Animation Comedy Family Fantasy,49519,en,The Croods,64.18332099999999,"[{""name"": ""DreamWorks Animation"", ""id"": 521}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-03-20,585178928,98,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Croods,6.8,2399,Nicolas Cage Emma Stone Ryan Reynolds Catherine Keener Cloris Leachman,Chris Sanders
235,235,97250400,Fantasy Adventure Comedy Family,2395,fr,Astérix aux Jeux Olympiques,20.344364,"[{""name"": ""Constantin Film"", ""id"": 47}, {""name"": ""TF1 Films Productions"", ""id"": 356}, {""name"": ""Path\u00e9 Renn Productions"", ""id"": 866}, {""name"": ""La Petite Reine"", ""id"": 1992}, {""name"": ""Tri Pictures"", ""id"": 1994}, {""name"": ""Sorolla Films"", ""id"": 1995}, {""name"": ""Novo RPI"", ""id"": 1996}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""uFilm"", ""id"": 8676}, {""name"": ""Canal+ Espa\u00f1a"", ""id"": 9335}, {""name"": ""Le Tax Shelter du Gouvernement F\u00e9d\u00e9ral de Belgique"", ""id"": 11921}, {""name"": ""Les Editions Albert Ren\u00e9"", ""id"": 20409}]","[{""iso_3166_1"": ""BE"", ""name"": ""Belgium""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""ES"", ""name"": ""Spain""}]",2008-01-13,132900000,116,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,Asterix at the Olympic Games,5.0,471,Clovis Cornillac G\u00e9rard Depardieu Franck Dubosc Jos\u00e9 Garcia St\u00e9phane Rousseau,Thomas Langmann
236,236,115000000,Drama Action History War,12100,en,Windtalkers,18.714197,"[{""name"": ""Lion Rock Productions"", ""id"": 2812}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-06-14,77628265,134,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""nv"", ""name"": """"}]",Released,Windtalkers,5.8,341,Nicolas Cage Adam Beach Peter Stormare Noah Emmerich Mark Ruffalo,John Woo
237,237,115000000,Action Adventure Drama,290595,en,The Huntsman: Winter's War,60.467984,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Perfect World Pictures"", ""id"": 10338}, {""name"": ""Roth Films"", ""id"": 16314}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-04-06,164602163,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Huntsman: Winter's War,6.0,1523,Chris Hemsworth Charlize Theron Emily Blunt Jessica Chastain Nick Frost,Cedric Nicolas-Troyan
238,238,125000000,Science Fiction Action Adventure Fantasy Comedy,98566,en,Teenage Mutant Ninja Turtles,143.350376,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Platinum Dunes"", ""id"": 2481}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-08-07,477200000,101,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Teenage Mutant Ninja Turtles,5.8,2636,Megan Fox Will Arnett William Fichtner Alan Ritchson Noel Fisher,Jonathan Liebesman
239,239,105000000,Science Fiction Thriller Drama,49047,en,Gravity,110.153618,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}, {""name"": ""Esperanto Filmoj"", ""id"": 7470}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-09-27,716392705,91,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Gravity,7.3,5751,Sandra Bullock George Clooney Ed Harris Orto Ignatiussen Phaldut Sharma,Alfonso Cuar\u00f3n
240,240,116000000,Action Adventure Thriller,9619,en,Dante's Peak,16.90444,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Pacific Western"", ""id"": 1280}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-02-07,178127760,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Dante's Peak,5.7,428,Pierce Brosnan Linda Hamilton Jamie Ren\u00e9e Smith Jeremy Foley Elizabeth Hoffman,Roger Donaldson
241,241,135000000,Fantasy Action Adventure Comedy,308531,en,Teenage Mutant Ninja Turtles: Out of the Shadows,39.873791,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""5150 Action"", ""id"": 47354}, {""name"": ""Gama Entertainment Partners"", ""id"": 77208}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",2016-06-01,245623848,112,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963,Megan Fox Stephen Amell Will Arnett Laura Linney Pete Ploszek,Dave Green
242,242,120000000,Action Adventure Science Fiction,166424,en,Fantastic Four,38.126095,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Marv Films"", ""id"": 5374}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Constantin Film."", ""id"": 9078}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Genre Films"", ""id"": 28788}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-08-05,167977596,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fantastic Four,4.4,2278,Miles Teller Kate Mara Michael B. Jordan Jamie Bell Toby Kebbell,Josh Trank
243,243,110000000,Action Adventure Comedy Family Fantasy,1593,en,Night at the Museum,48.780039,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""21 Laps Entertainment"", ""id"": 2575}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2006-10-20,574480841,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}]",Released,Night at the Museum,6.3,2862,Ben Stiller Jake Cherry Carla Gugino Robin Williams Dick Van Dyke,Shawn Levy
244,244,110000000,Action Drama Thriller,254128,en,San Andreas,100.412364,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Flynn Picture Company"", ""id"": 34081}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",2015-05-27,470490832,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,San Andreas,6.0,2968,Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi,Brad Peyton
245,245,110000000,Adventure Action Thriller,714,en,Tomorrow Never Dies,42.887121,"[{""name"": ""Eon Productions"", ""id"": 7576}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-12-11,333011068,119,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""da"", ""name"": ""Dansk""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}]",Released,Tomorrow Never Dies,6.0,925,Pierce Brosnan Jonathan Pryce Michelle Yeoh Teri Hatcher Ricky Jay,Roger Spottiswoode
246,246,110000000,Drama History War Action,2024,en,The Patriot,23.657284,"[{""name"": ""Centropolis Entertainment"", ""id"": 347}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Mutual Film Company"", ""id"": 762}, {""name"": ""Global Entertainment Productions GmbH & Company Medien KG"", ""id"": 9269}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-06-28,215294342,165,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Patriot,6.8,1099,Mel Gibson Heath Ledger Joely Richardson Jason Isaacs Tch\u00e9ky Karyo,Roland Emmerich
247,247,110000000,Thriller Crime,163,en,Ocean's Twelve,76.840712,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Section Eight"", ""id"": 129}, {""name"": ""Jerry Weintraub Productions"", ""id"": 2596}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""WV Films III"", ""id"": 12202}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-12-09,362744280,125,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""nl"", ""name"": ""Nederlands""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Ocean's Twelve,6.4,2124,George Clooney Brad Pitt Catherine Zeta-Jones Julia Roberts Andy Garc\u00eda,Steven Soderbergh
248,248,110000000,Action Comedy Drama Thriller,787,en,Mr. & Mrs. Smith,44.635452,"[{""name"": ""Weed Road Pictures"", ""id"": 433}, {""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""New Regency Pictures"", ""id"": 10104}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-06-07,478207520,120,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Mr. & Mrs. Smith,6.5,2965,Angelina Jolie Brad Pitt Vince Vaughn Adam Brody Kerry Washington,Doug Liman
249,249,110000000,Adventure Science Fiction Thriller,262500,en,Insurgent,103.718387,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}, {""name"": ""NeoReel"", ""id"": 24097}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-03-18,295238201,119,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Insurgent,6.2,3829,Shailene Woodley Theo James Kate Winslet Ansel Elgort Miles Teller,Robert Schwentke
250,250,116000000,Drama,2567,en,The Aviator,45.616098,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""Forward Pass"", ""id"": 675}, {""name"": ""Cappa Productions"", ""id"": 691}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Initial Entertainment Group (IEG)"", ""id"": 7380}, {""name"": ""IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"", ""id"": 19116}, {""name"": ""Mel's Cite du Cinema"", ""id"": 54502}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-12-17,102000000,170,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Aviator,7.0,1489,Leonardo DiCaprio Cate Blanchett Kate Beckinsale John C. Reilly Alec Baldwin,Martin Scorsese
251,251,112000000,Comedy,38745,en,Gulliver's Travels,22.845143,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Dune Entertainment III"", ""id"": 6332}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-12-25,237382724,85,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Gulliver's Travels,4.9,621,Jack Black Amanda Peet Emily Blunt Jason Segel Chris O'Dowd,Rob Letterman
252,252,120000000,Action Crime Comedy,40805,en,The Green Hornet,31.70360800000001,"[{""name"": ""Original Film"", ""id"": 333}, {""name"": ""Sony Pictures Entertainment"", ""id"": 5752}, {""name"": ""Reliance BIG Entertainment"", ""id"": 6733}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-01-12,227817248,119,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,The Green Hornet,5.5,1251,Seth Rogen Jay Chou Christoph Waltz Cameron Diaz Edward Furlong,Michel Gondry
253,253,110000000,Action War,53182,en,300: Rise of an Empire,71.51059599999998,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Hollywood Gang Productions"", ""id"": 2994}, {""name"": ""Atmosphere Entertainment MM"", ""id"": 2995}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Nimar Studios"", ""id"": 7636}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-03-05,337580051,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,300: Rise of an Empire,6.1,2397,Sullivan Stapleton Eva Green Lena Headey Callan Mulvey David Wenham,Noam Murro
254,254,110000000,Animation Family Adventure Comedy Fantasy,41513,en,The Smurfs,36.65422,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}, {""name"": ""Kerner Entertainment Company"", ""id"": 7311}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-07-29,563749323,103,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Smurfs,5.5,1179,Hank Azaria Neil Patrick Harris Jayma Mays Sof\u00eda Vergara Tim Gunn,Raja Gosnell
255,255,110000000,Animation Family,13700,en,Home on the Range,19.625972,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-04-02,103951461,76,"[{""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Home on the Range,5.7,389,Roseanne Barr Judi Dench Jennifer Tilly Steve Buscemi G. W. Bailey,Will Finn
256,256,110000000,Adventure Science Fiction,262504,en,Allegiant,86.105615,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-03-09,179246868,121,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Allegiant,5.9,1998,Shailene Woodley Theo James Zo\u00eb Kravitz Miles Teller Naomi Watts,Robert Schwentke
257,257,110000000,Action Science Fiction Drama,39254,en,Real Steel,37.19504600000001,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""21 Laps Entertainment"", ""id"": 2575}, {""name"": ""Reliance Entertainment"", ""id"": 7294}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""ImageMovers"", ""id"": 11395}, {""name"": ""Angry Films"", ""id"": 12087}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}, {""name"": ""Kontsept Film Company"", ""id"": 76067}, {""name"": ""Wardour Street Pictures"", ""id"": 76069}]","[{""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-09-28,299268508,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Real Steel,6.6,2692,Hugh Jackman Dakota Goyo Evangeline Lilly Anthony Mackie Kevin Durand,Shawn Levy
258,258,105000000,Fantasy Family Comedy Animation,77931,en,The Smurfs 2,32.473628000000005,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}, {""name"": ""Kerner Entertainment Company"", ""id"": 7311}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""NeoReel"", ""id"": 24097}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-07-30,347434178,105,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Smurfs 2,5.5,695,Hank Azaria Neil Patrick Harris Brendan Gleeson Jayma Mays Jonathan Winters,Raja Gosnell
259,259,160000000,Action Adventure Thriller,1639,en,Speed 2: Cruise Control,23.336875,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Blue Tulip Productions"", ""id"": 35304}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-06-13,164508066,121,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,Speed 2: Cruise Control,4.1,434,Sandra Bullock Jason Patric Willem Dafoe Temuera Morrison Mike Hagerty,Jan de Bont
260,260,110000000,Science Fiction Action Adventure,80274,en,Ender's Game,45.94834,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Chartoff Productions"", ""id"": 3200}, {""name"": ""Odd Lot Entertainment"", ""id"": 3263}, {""name"": ""K/O Paper Products"", ""id"": 7296}, {""name"": ""Digital Domain"", ""id"": 31825}, {""name"": ""Taleswapper"", ""id"": 31826}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-10-23,125537191,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Ender's Game,6.6,2303,Asa Butterfield Harrison Ford Hailee Steinfeld Abigail Breslin Ben Kingsley,Gavin Hood
261,261,110000000,Action Thriller,1571,en,Live Free or Die Hard,48.93337,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Cheyenne Enterprises"", ""id"": 890}, {""name"": ""Wintergreen Productions"", ""id"": 11845}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-06-20,383531464,128,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,Live Free or Die Hard,6.4,2089,Bruce Willis Justin Long Timothy Olyphant Cliff Curtis Maggie Q,Len Wiseman
262,262,93000000,Adventure Fantasy Action,120,en,The Lord of the Rings: The Fellowship of the Ring,138.049577,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""The Saul Zaentz Company"", ""id"": 5237}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-12-18,871368364,178,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Lord of the Rings: The Fellowship of the Ring,8.0,8705,Elijah Wood Ian McKellen Cate Blanchett Orlando Bloom Sean Bean,Peter Jackson
263,263,110000000,Action Adventure Comedy,10204,en,Around the World in 80 Days,22.64377600000001,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Walden Media"", ""id"": 10221}, {""name"": ""Babelsberg Film"", ""id"": 19481}, {""name"": ""Mostow/Lieberman Productions"", ""id"": 23636}, {""name"": ""80 Days Productions"", ""id"": 53413}, {""name"": ""Spanknyce Films"", ""id"": 53414}, {""name"": ""Fitzwilliam Productions"", ""id"": 53416}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IE"", ""name"": ""Ireland""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-06-16,72178895,120,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""hi"", ""name"": ""\u0939\u093f\u0928\u094d\u0926\u0940""}, {""iso_639_1"": ""tr"", ""name"": ""T\u00fcrk\u00e7e""}, {""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}]",Released,Around the World in 80 Days,5.7,672,Jackie Chan Steve Coogan C\u00e9cile de France Robert Fyfe Jim Broadbent,Frank Coraci
264,264,107000000,Drama,8489,en,Ali,18.866672,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-12-11,87713825,157,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Ali,6.7,447,Will Smith Jamie Foxx Jon Voight Mario Van Peebles Ron Silver,Michael Mann
